Loaded module: cuda/11.7

[INFO] Using global_seed=12

[INFO] Training EVAE: decoders=1, rerun=0
Epoch  91 | Train: 135.6162 | Val: 135.4451
Epoch 100 | Train: 135.0030 | Val: 134.8117

[INFO] Training EVAE: decoders=2, rerun=0
Epoch   1 | Train: 288.6105 | Val: 522.2840
Epoch  11 | Train: 157.8785 | Val: 160.6223
Epoch  21 | Train: 153.7216 | Val: 154.4130
Epoch  31 | Train: 150.7723 | Val: 150.0872
Epoch  41 | Train: 147.9592 | Val: 147.4019
Epoch  51 | Train: 145.1434 | Val: 144.6372
Epoch  61 | Train: 142.9305 | Val: 142.4190
Epoch  71 | Train: 141.4643 | Val: 141.2087
Epoch  81 | Train: 140.4106 | Val: 140.1214
Epoch  91 | Train: 139.4927 | Val: 139.2868
Epoch 100 | Train: 138.7713 | Val: 138.5496

[INFO] Training EVAE: decoders=2, rerun=1
Epoch   1 | Train: 297.2046 | Val: 320.5170
Epoch  11 | Train: 159.7580 | Val: 163.6944
Epoch  21 | Train: 155.6364 | Val: 156.8314
Epoch  31 | Train: 153.0686 | Val: 152.5955
Epoch  41 | Train: 149.5551 | Val: 149.1835
Epoch  51 | Train: 147.5696 | Val: 147.0190
Epoch  61 | Train: 145.7124 | Val: 145.2764
Epoch  71 | Train: 143.9581 | Val: 143.5883
Epoch  81 | Train: 142.7150 | Val: 142.2479
Epoch  91 | Train: 141.3216 | Val: 141.1552
Epoch 100 | Train: 140.3926 | Val: 140.0520

[INFO] Training EVAE: decoders=2, rerun=2
Epoch   1 | Train: 302.3586 | Val: 292.3719
Epoch  11 | Train: 160.4336 | Val: 164.0935
Epoch  21 | Train: 156.0609 | Val: 156.8093
Epoch  31 | Train: 153.1972 | Val: 152.4085
Epoch  41 | Train: 149.9299 | Val: 149.1688
Epoch  51 | Train: 147.9832 | Val: 147.3021
Epoch  61 | Train: 145.6896 | Val: 145.2002
Epoch  71 | Train: 143.9581 | Val: 143.6932
Epoch  81 | Train: 142.4295 | Val: 142.1556
Epoch  91 | Train: 141.1513 | Val: 140.9047
Epoch 100 | Train: 140.0369 | Val: 139.8925

[INFO] Training EVAE: decoders=2, rerun=3
Epoch   1 | Train: 353.6373 | Val: 259.6733
Epoch  11 | Train: 163.4894 | Val: 167.4210
Epoch  21 | Train: 158.3803 | Val: 159.4382
Epoch  31 | Train: 155.8588 | Val: 154.8496
Epoch  41 | Train: 151.5671 | Val: 151.2182
Epoch  51 | Train: 148.7927 | Val: 148.2298
Epoch  61 | Train: 145.6717 | Val: 145.4654
Epoch  71 | Train: 143.7829 | Val: 143.6477
Epoch  81 | Train: 142.4750 | Val: 142.7200
Epoch  91 | Train: 140.9459 | Val: 140.8621
Epoch 100 | Train: 139.7627 | Val: 139.8837

[INFO] Training EVAE: decoders=2, rerun=4
Epoch   1 | Train: 310.9745 | Val: 299.8618
Epoch  11 | Train: 159.3493 | Val: 163.0981
Epoch  21 | Train: 156.0645 | Val: 156.7126
Epoch  31 | Train: 154.2800 | Val: 153.0455
Epoch  41 | Train: 150.7353 | Val: 149.5598
Epoch  51 | Train: 147.7047 | Val: 147.0474
Epoch  61 | Train: 145.2461 | Val: 144.7176
Epoch  71 | Train: 143.2639 | Val: 143.3264
Epoch  81 | Train: 141.6783 | Val: 141.4689
Epoch  91 | Train: 140.2660 | Val: 140.0332
Epoch 100 | Train: 139.3762 | Val: 139.3719

[INFO] Training EVAE: decoders=2, rerun=5
Epoch   1 | Train: 285.6798 | Val: 277.2602
Epoch  11 | Train: 160.2847 | Val: 164.4949
Epoch  21 | Train: 156.2804 | Val: 157.1019
Epoch  31 | Train: 153.7298 | Val: 152.9455
Epoch  41 | Train: 149.9609 | Val: 149.3183
Epoch  51 | Train: 147.0976 | Val: 146.4944
Epoch  61 | Train: 144.9822 | Val: 144.6281
Epoch  71 | Train: 143.3753 | Val: 142.9609
Epoch  81 | Train: 142.0453 | Val: 141.8044
Epoch  91 | Train: 140.8592 | Val: 140.5865
Epoch 100 | Train: 139.8418 | Val: 139.4882

[INFO] Training EVAE: decoders=2, rerun=6
Epoch   1 | Train: 271.9697 | Val: 408.6261
Epoch  11 | Train: 158.5340 | Val: 161.9123
Epoch  21 | Train: 153.6158 | Val: 154.6190
Epoch  31 | Train: 151.1637 | Val: 150.3714
Epoch  41 | Train: 147.9236 | Val: 147.3153
Epoch  51 | Train: 145.5211 | Val: 145.0501
Epoch  61 | Train: 143.6943 | Val: 143.2514
Epoch  71 | Train: 142.1638 | Val: 141.7855
Epoch  81 | Train: 140.7130 | Val: 140.5631
Epoch  91 | Train: 139.7348 | Val: 139.5368
Epoch 100 | Train: 138.6079 | Val: 138.4735

[INFO] Training EVAE: decoders=2, rerun=7
Epoch   1 | Train: 275.6703 | Val: 373.2927
Epoch  11 | Train: 158.0348 | Val: 161.9177
Epoch  21 | Train: 154.3369 | Val: 155.3115
Epoch  31 | Train: 152.1172 | Val: 151.3723
Epoch  41 | Train: 149.2616 | Val: 148.5565
Epoch  51 | Train: 146.2417 | Val: 145.6317
Epoch  61 | Train: 143.7054 | Val: 143.0695
Epoch  71 | Train: 141.7692 | Val: 141.5273
Epoch  81 | Train: 140.3587 | Val: 140.1752
Epoch  91 | Train: 139.0651 | Val: 138.9765
Epoch 100 | Train: 138.0305 | Val: 138.2111

[INFO] Training EVAE: decoders=2, rerun=8
Epoch   1 | Train: 285.9562 | Val: 262.8610
Epoch  11 | Train: 179.4959 | Val: 198.0755
Epoch  21 | Train: 172.9374 | Val: 165.9112
Epoch  31 | Train: 157.6820 | Val: 156.8529
Epoch  41 | Train: 152.4147 | Val: 151.6836
Epoch  51 | Train: 149.1263 | Val: 148.5167
Epoch  61 | Train: 147.2258 | Val: 146.9324
Epoch  71 | Train: 145.6530 | Val: 145.3343
Epoch  81 | Train: 144.2672 | Val: 144.0283
Epoch  91 | Train: 142.8989 | Val: 143.0382
Epoch 100 | Train: 141.6662 | Val: 142.0082

[INFO] Training EVAE: decoders=2, rerun=9
Epoch   1 | Train: 293.7157 | Val: 427.0633
Epoch  11 | Train: 158.8029 | Val: 163.0355
Epoch  21 | Train: 153.9255 | Val: 155.3472
Epoch  31 | Train: 151.9954 | Val: 151.3193
Epoch  41 | Train: 149.2127 | Val: 148.6897
Epoch  51 | Train: 146.7607 | Val: 146.2710
Epoch  61 | Train: 144.9364 | Val: 144.3736
Epoch  71 | Train: 143.4096 | Val: 143.2487
Epoch  81 | Train: 142.1478 | Val: 141.8849
Epoch  91 | Train: 140.9037 | Val: 140.6037
Epoch 100 | Train: 139.8299 | Val: 139.6597

[INFO] Training EVAE: decoders=3, rerun=0
Epoch   1 | Train: 345.9530 | Val: 316.5553
Epoch  11 | Train: 161.1276 | Val: 164.9082
Epoch  21 | Train: 157.5256 | Val: 158.3396
Epoch  31 | Train: 156.6189 | Val: 155.7051
Epoch  41 | Train: 153.7224 | Val: 152.8324
Epoch  51 | Train: 150.4903 | Val: 150.0767
Epoch  61 | Train: 148.6003 | Val: 147.8751
Epoch  71 | Train: 146.5035 | Val: 145.7656
Epoch  81 | Train: 144.7073 | Val: 144.1293
