Loaded module: cuda/11.7
Running optimization for model_seed123.pt with euclidean init
[INFO] Device: cuda
[INFO] Automatically using spline: experiment/splines_init_model_seed123/spline_batch_init_euclidean_133.pt
[DEBUG] Loaded model: experiment/model_seed123.pt
[CHECK] All decoders identical? False
Decoders are (at least slightly) diverse.
[INFO] Optimizing 8776 splines (n_poly=4, K=5)
Batched optimization:   0%|          | 0/9 [00:00<?, ?it/s]Batched optimization:  11%|█         | 1/9 [12:15<1:38:03, 735.47s/it]Batched optimization:  22%|██▏       | 2/9 [24:30<1:25:48, 735.43s/it]Batched optimization:  33%|███▎      | 3/9 [36:45<1:13:31, 735.26s/it]Batched optimization:  44%|████▍     | 4/9 [49:00<1:01:15, 735.05s/it]Batched optimization:  56%|█████▌    | 5/9 [1:01:15<48:59, 734.96s/it]Batched optimization:  67%|██████▋   | 6/9 [1:13:31<36:45, 735.26s/it]Batched optimization:  78%|███████▊  | 7/9 [1:25:47<24:30, 735.46s/it]Batched optimization:  89%|████████▉ | 8/9 [1:38:03<12:15, 735.70s/it]Batched optimization: 100%|██████████| 9/9 [1:47:34<00:00, 684.27s/it]Batched optimization: 100%|██████████| 9/9 [1:47:34<00:00, 717.18s/it]
[BATCH] Batch 1/9: optimizing splines [0:1000]
[Step 0] Mean Energy: 293647.9062
[Step 50] Mean Energy: 274850.5312
[Step 100] Mean Energy: 258751.1875
[Step 150] Mean Energy: 245630.5781
[Step 200] Mean Energy: 234910.7969
[Step 250] Mean Energy: 226653.9688
[Step 300] Mean Energy: 220009.8594
[Step 350] Mean Energy: 214174.4375
[Step 400] Mean Energy: 209126.2500
[Step 450] Mean Energy: 204789.7188
[Step 500] Mean Energy: 200835.7188
[Step 550] Mean Energy: 197345.1250
[Step 600] Mean Energy: 194241.5781
[Step 650] Mean Energy: 191380.8281
[Step 700] Mean Energy: 188543.0625
[Step 750] Mean Energy: 186198.7969
[Step 800] Mean Energy: 183935.3125
[Step 850] Mean Energy: 181840.0000
[Step 900] Mean Energy: 179894.5312
[Step 950] Mean Energy: 178027.0469
[BATCH] Batch 2/9: optimizing splines [1000:2000]
[Step 0] Mean Energy: 175840.5469
[Step 50] Mean Energy: 162266.2188
[Step 100] Mean Energy: 151855.1406
[Step 150] Mean Energy: 143782.1250
[Step 200] Mean Energy: 137875.0781
[Step 250] Mean Energy: 132948.7812
[Step 300] Mean Energy: 128848.3906
[Step 350] Mean Energy: 125641.8594
[Step 400] Mean Energy: 122992.0859
[Step 450] Mean Energy: 120666.1016
[Step 500] Mean Energy: 118660.8984
[Step 550] Mean Energy: 116686.6953
[Step 600] Mean Energy: 114955.8828
[Step 650] Mean Energy: 113328.5625
[Step 700] Mean Energy: 111785.5391
[Step 750] Mean Energy: 110410.3359
[Step 800] Mean Energy: 109130.2344
[Step 850] Mean Energy: 107910.4922
[Step 900] Mean Energy: 106764.2109
[Step 950] Mean Energy: 105764.8906
[BATCH] Batch 3/9: optimizing splines [2000:3000]
[Step 0] Mean Energy: 194978.0000
[Step 50] Mean Energy: 178280.5156
[Step 100] Mean Energy: 165551.6875
[Step 150] Mean Energy: 155784.8594
[Step 200] Mean Energy: 148775.2656
[Step 250] Mean Energy: 143299.2031
[Step 300] Mean Energy: 139012.4375
[Step 350] Mean Energy: 135361.8906
[Step 400] Mean Energy: 132210.9688
[Step 450] Mean Energy: 129476.8984
[Step 500] Mean Energy: 126850.0547
