Loaded module: cuda/11.7
Running optimization for model_seed123.pt with entropy init
[INFO] Device: cuda
[INFO] Automatically using spline: experiment/splines_init_model_seed123/spline_batch_init_entropy_133.pt
[DEBUG] Loaded model: experiment/model_seed123.pt
[CHECK] All decoders identical? False
Decoders are (at least slightly) diverse.
[INFO] Optimizing 8776 splines (n_poly=4, K=5)
Batched optimization:   0%|          | 0/9 [00:00<?, ?it/s]Batched optimization:  11%|█         | 1/9 [09:32<1:16:21, 572.75s/it]Batched optimization:  22%|██▏       | 2/9 [19:05<1:06:48, 572.70s/it]Batched optimization:  33%|███▎      | 3/9 [28:38<57:17, 572.87s/it]  Batched optimization:  44%|████▍     | 4/9 [38:11<47:43, 572.77s/it]Batched optimization:  56%|█████▌    | 5/9 [47:43<38:10, 572.72s/it]Batched optimization:  67%|██████▋   | 6/9 [57:16<28:38, 572.76s/it]Batched optimization:  78%|███████▊  | 7/9 [1:06:49<19:05, 572.76s/it]Batched optimization:  89%|████████▉ | 8/9 [1:16:22<09:32, 572.80s/it]Batched optimization: 100%|██████████| 9/9 [1:23:46<00:00, 532.76s/it]Batched optimization: 100%|██████████| 9/9 [1:23:46<00:00, 558.55s/it]
[BATCH] Batch 1/9: optimizing splines [0:1000]
[Step 0] Mean Energy: 190902.0625
[Step 50] Mean Energy: 184525.5625
[Step 100] Mean Energy: 179526.4219
[Step 150] Mean Energy: 175376.0469
[Step 200] Mean Energy: 171357.9062
[Step 250] Mean Energy: 167835.5625
[Step 300] Mean Energy: 164628.4531
[Step 350] Mean Energy: 161698.5625
[Step 400] Mean Energy: 158948.4531
[Step 450] Mean Energy: 156460.9844
[Step 500] Mean Energy: 154098.4219
[Step 550] Mean Energy: 152006.8906
[Step 600] Mean Energy: 150043.2656
[Step 650] Mean Energy: 148177.5156
[Step 700] Mean Energy: 146311.9375
[Step 750] Mean Energy: 144622.2656
[Step 800] Mean Energy: 142994.6875
[Step 850] Mean Energy: 141448.0312
[Step 900] Mean Energy: 140024.0938
[Step 950] Mean Energy: 138609.6719
[BATCH] Batch 2/9: optimizing splines [1000:2000]
[Step 0] Mean Energy: 119315.5859
[Step 50] Mean Energy: 115315.5234
[Step 100] Mean Energy: 112451.1406
[Step 150] Mean Energy: 110036.6094
[Step 200] Mean Energy: 108138.0234
[Step 250] Mean Energy: 106461.7031
[Step 300] Mean Energy: 105019.1719
[Step 350] Mean Energy: 103683.8125
[Step 400] Mean Energy: 102464.0078
[Step 450] Mean Energy: 101312.5156
[Step 500] Mean Energy: 100351.1562
[Step 550] Mean Energy: 99262.6641
[Step 600] Mean Energy: 98361.7266
[Step 650] Mean Energy: 97427.9062
[Step 700] Mean Energy: 96548.0703
[Step 750] Mean Energy: 95791.0859
[Step 800] Mean Energy: 94982.5781
[Step 850] Mean Energy: 94246.8828
[Step 900] Mean Energy: 93567.4297
[Step 950] Mean Energy: 92918.4297
[BATCH] Batch 3/9: optimizing splines [2000:3000]
[Step 0] Mean Energy: 125364.7109
[Step 50] Mean Energy: 120670.1953
[Step 100] Mean Energy: 117398.8984
[Step 150] Mean Energy: 114736.1953
[Step 200] Mean Energy: 112437.8438
[Step 250] Mean Energy: 110456.7031
[Step 300] Mean Energy: 108814.1016
[Step 350] Mean Energy: 107239.7969
[Step 400] Mean Energy: 105823.1562
[Step 450] Mean Energy: 104652.0234
[Step 500] Mean Energy: 103433.7500
[Step 550] Mean Energy: 102375.5312
