Loaded module: cuda/11.7
Running optimization for model_seed12.pt with entropy init
[INFO] Device: cuda
[INFO] Automatically using spline: experiment/splines_init_model_seed12/spline_batch_init_entropy_133.pt
[DEBUG] Loaded model: experiment/model_seed12.pt
[CHECK] All decoders identical? False
Decoders are (at least slightly) diverse.
[INFO] Optimizing 8777 splines (n_poly=4, K=5)
Batched optimization:   0%|          | 0/9 [00:00<?, ?it/s]Batched optimization:  11%|█         | 1/9 [12:10<1:37:21, 730.19s/it]Batched optimization:  22%|██▏       | 2/9 [24:19<1:25:07, 729.63s/it]Batched optimization:  33%|███▎      | 3/9 [36:27<1:12:53, 728.95s/it]Batched optimization:  44%|████▍     | 4/9 [48:35<1:00:42, 728.52s/it]Batched optimization:  56%|█████▌    | 5/9 [1:00:42<48:32, 728.01s/it]Batched optimization:  67%|██████▋   | 6/9 [1:12:51<36:24, 728.25s/it]Batched optimization:  78%|███████▊  | 7/9 [1:24:59<24:16, 728.25s/it]Batched optimization:  89%|████████▉ | 8/9 [1:37:08<12:08, 728.46s/it]Batched optimization: 100%|██████████| 9/9 [1:46:32<00:00, 677.21s/it]Batched optimization: 100%|██████████| 9/9 [1:46:32<00:00, 710.33s/it]
[BATCH] Batch 1/9: optimizing splines [0:1000]
[BATCH] Batch 7/9: optimizing splines [6000:7000]
[Step 0] Mean Energy: 188509.9219
[Step 50] Mean Energy: 179990.4219
[Step 100] Mean Energy: 173393.1875
[Step 150] Mean Energy: 167900.5156
[Step 200] Mean Energy: 163128.4375
[Step 250] Mean Energy: 159222.3438
[Step 300] Mean Energy: 155687.3750
[Step 350] Mean Energy: 152573.5781
[Step 400] Mean Energy: 149893.5156
[Step 450] Mean Energy: 147438.4062
[Step 500] Mean Energy: 145208.7031
[Step 550] Mean Energy: 143230.4688
[Step 600] Mean Energy: 141379.6875
[Step 650] Mean Energy: 139629.6719
[Step 700] Mean Energy: 137984.3750
[Step 750] Mean Energy: 136464.8750
[Step 800] Mean Energy: 135011.1719
[Step 850] Mean Energy: 133601.2344
[Step 900] Mean Energy: 132308.2656
[Step 950] Mean Energy: 131044.1797
[BATCH] Batch 8/9: optimizing splines [7000:8000]
[Step 0] Mean Energy: 136138.5312
[Step 50] Mean Energy: 132817.9219
[Step 100] Mean Energy: 130261.8047
[Step 150] Mean Energy: 128141.8047
[Step 200] Mean Energy: 126234.3281
[Step 250] Mean Energy: 124594.7266
[Step 300] Mean Energy: 123103.2188
[Step 350] Mean Energy: 121632.4219
[Step 400] Mean Energy: 120477.0156
[Step 450] Mean Energy: 119288.9844
[Step 500] Mean Energy: 118154.8984
[Step 550] Mean Energy: 117168.6719
[Step 600] Mean Energy: 116258.1172
[Step 650] Mean Energy: 115342.8828
[Step 700] Mean Energy: 114544.1328
[Step 750] Mean Energy: 113734.6797
[Step 800] Mean Energy: 112956.9688
[Step 850] Mean Energy: 112300.5000
[Step 900] Mean Energy: 111552.7500
[Step 950] Mean Energy: 110887.6641
[BATCH] Batch 9/9: optimizing splines [8000:8777]
[Step 0] Mean Energy: 133889.9531
[Step 50] Mean Energy: 130743.4766
[Step 100] Mean Energy: 128353.5078
[Step 150] Mean Energy: 126453.5625
[Step 200] Mean Energy: 124677.9297
[Step 250] Mean Energy: 123129.7031
[Step 300] Mean Energy: 121754.5938
[Step 350] Mean Energy: 120389.5000
[Step 400] Mean Energy: 119257.0234
[Step 450] Mean Energy: 118207.4141
[Step 500] Mean Energy: 117148.3594
[Step 550] Mean Energy: 116280.1953
[Step 600] Mean Energy: 115230.1797
[Step 650] Mean Energy: 114529.5469
[Step 700] Mean Energy: 113657.6250
[Step 750] Mean Energy: 112971.0625
[Step 800] Mean Energy: 112232.5234
[Step 850] Mean Energy: 111632.5547
[Step 900] Mean Energy: 111016.4609
[Step 950] Mean Energy: 110448.3516
[✓] Saved optimized splines to: experiment/splines_opt_model_seed12/spline_batch_opt_entropy_133.pt
[✓] Saved initial+optimized spline plot to: experiment/splines_opt_model_seed12/spline_plot_both_entropy_133.png
